Rn,seasonType,leagueId,eventId,date,venueId,attendance,homeTeamId,awayTeamId,homeTeamWinner,awayTeamWinner,homeTeamScore,awayTeamScore,homeTeamShootoutScore,awayTeamShootoutScore,statusId,updateTime
1,12136,3922,689519,2024-01-01 05:00:00,8680,61916,627,4396,True,False,5,0,0,0,28,2024-01-07 03:20:23
2,12136,3922,694555,2024-01-01 13:30:00,4775,0,658,1928,False,True,1,2,0,0,28,2024-01-07 03:20:24
3,12136,3922,693431,2024-01-02 13:00:00,7614,0,4895,2621,False,True,0,4,0,0,28,2024-01-07 03:20:59
4,12136,3922,694586,2024-01-04 12:00:00,9877,0,1928,6723,False,True,1,2,0,0,28,2024-01-07 03:21:28
5,12136,3922,690701,2024-01-04 13:30:00,9876,0,655,4388,True,False,1,0,0,0,28,2024-01-07 03:21:29
6,12136,3922,693432,2024-01-05 13:00:00,7614,0,4895,2621,False,True,1,2,0,0,28,2024-01-07 03:21:42
7,12136,3922,694556,2024-01-05 14:30:00,9874,7000,469,2845,True,False,2,1,0,0,28,2024-01-10 21:36:00
8,12136,3922,694610,2024-01-05 14:30:00,-1,0,4380,6724,False,False,1,1,0,0,28,2024-01-07 03:21:43
9,12136,3922,692530,2024-01-05 16:00:00,7032,100,4398,2917,False,True,1,2,0,0,28,2024-01-10 21:36:02
10,12136,3922,694553,2024-01-05 16:00:00,8236,0,4356,624,False,True,0,3,0,0,28,2024-01-07 03:21:44
11,12136,3922,693925,2024-01-06 13:00:00,8037,100,4375,451,False,True,0,1,0,0,28,2024-01-10 21:36:52
12,12136,3922,688265,2024-01-06 14:00:00,4775,300,4381,628,False,True,0,2,0,0,28,2024-01-07 03:22:30
13,12136,3922,694611,2024-01-06 15:15:00,-1,0,4397,2841,False,True,0,1,0,0,28,2024-01-07 03:22:30
14,12136,3922,694612,2024-01-06 16:00:00,-1,0,2850,653,False,False,0,0,0,0,28,2024-01-07 03:22:31
15,12136,3922,693921,2024-01-06 17:00:00,9844,16000,4789,8600,True,False,5,1,0,0,28,2024-01-07 03:22:31
16,12136,3922,694551,2024-01-06 18:30:00,6839,3000,659,8940,False,False,0,0,0,0,28,2024-01-07 03:22:32
17,12136,3922,694613,2024-01-06 19:00:00,-1,0,2849,8602,True,False,6,2,0,0,28,2024-01-07 03:22:32
18,12136,3922,694614,2024-01-06 19:00:00,-1,0,8939,6640,True,False,2,0,0,0,28,2024-01-07 03:22:33
19,12136,3922,690840,2024-01-06 20:00:00,-1,0,4789,8939,False,False,0,0,0,0,5,2024-01-07 03:22:33
