match_id,innings,team,final_score,wickets_lost,balls_faced,venue,city,toss_winner,toss_decision,season,year,month,day,target_score
335982,1,Kolkata Knight Riders,222,3,120,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,2007/08,2008,4,18,
335982,2,Royal Challengers Bangalore,82,10,91,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,2007/08,2008,4,18,223.0
335983,1,Chennai Super Kings,240,5,120,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Chennai Super Kings,bat,2007/08,2008,4,19,
335983,2,Kings XI Punjab,207,4,120,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Chennai Super Kings,bat,2007/08,2008,4,19,241.0
335984,1,Rajasthan Royals,129,8,120,Feroz Shah Kotla,Delhi,Rajasthan Royals,bat,2007/08,2008,4,19,
335984,2,Delhi Daredevils,132,1,91,Feroz Shah Kotla,Delhi,Rajasthan Royals,bat,2007/08,2008,4,19,130.0
335985,1,Mumbai Indians,165,6,120,Wankhede Stadium,Mumbai,Mumbai Indians,bat,2007/08,2008,4,20,
335985,2,Royal Challengers Bangalore,166,5,118,Wankhede Stadium,Mumbai,Mumbai Indians,bat,2007/08,2008,4,20,166.0
335986,1,Deccan Chargers,110,10,112,Eden Gardens,Kolkata,Deccan Chargers,bat,2007/08,2008,4,20,
335986,2,Kolkata Knight Riders,112,5,114,Eden Gardens,Kolkata,Deccan Chargers,bat,2007/08,2008,4,20,111.0
335987,1,Kings XI Punjab,166,8,119,Sawai Mansingh Stadium,Jaipur,Kings XI Punjab,bat,2007/08,2008,4,21,
335987,2,Rajasthan Royals,168,4,109,Sawai Mansingh Stadium,Jaipur,Kings XI Punjab,bat,2007/08,2008,4,21,167.0
335988,1,Deccan Chargers,142,8,120,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,bat,2007/08,2008,4,22,
335988,2,Delhi Daredevils,143,1,78,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,bat,2007/08,2008,4,22,143.0
335989,1,Chennai Super Kings,208,5,120,"MA Chidambaram Stadium, Chepauk",Chennai,Mumbai Indians,field,2007/08,2008,4,23,
335989,2,Mumbai Indians,202,7,120,"MA Chidambaram Stadium, Chepauk",Chennai,Mumbai Indians,field,2007/08,2008,4,23,209.0
335990,1,Deccan Chargers,214,5,120,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rajasthan Royals,field,2007/08,2008,4,24,
335990,2,Rajasthan Royals,217,7,119,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rajasthan Royals,field,2007/08,2008,4,24,215.0
335991,1,Kings XI Punjab,182,10,120,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Mumbai Indians,field,2007/08,2008,4,25,
335991,2,Mumbai Indians,116,9,120,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Mumbai Indians,field,2007/08,2008,4,25,183.0
335992,1,Royal Challengers Bangalore,135,8,120,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,field,2007/08,2008,4,26,
335992,2,Rajasthan Royals,138,3,103,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,field,2007/08,2008,4,26,136.0
335993,1,Kolkata Knight Riders,147,9,120,"MA Chidambaram Stadium, Chepauk",Chennai,Kolkata Knight Riders,bat,2007/08,2008,4,26,
335993,2,Chennai Super Kings,152,1,102,"MA Chidambaram Stadium, Chepauk",Chennai,Kolkata Knight Riders,bat,2007/08,2008,4,26,148.0
335994,1,Mumbai Indians,154,7,120,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,field,2007/08,2008,4,27,
335994,2,Deccan Chargers,155,0,73,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,field,2007/08,2008,4,27,155.0
335995,1,Delhi Daredevils,158,8,120,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Delhi Daredevils,bat,2007/08,2008,4,27,
335995,2,Kings XI Punjab,162,6,117,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Delhi Daredevils,bat,2007/08,2008,4,27,159.0
335996,1,Chennai Super Kings,178,5,120,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,bat,2007/08,2008,4,28,
335996,2,Royal Challengers Bangalore,165,10,118,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,bat,2007/08,2008,4,28,179.0
335997,1,Kolkata Knight Riders,137,8,120,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,2007/08,2008,4,29,
335997,2,Mumbai Indians,138,3,112,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,2007/08,2008,4,29,138.0
335998,1,Delhi Daredevils,191,5,120,Feroz Shah Kotla,Delhi,Royal Challengers Bangalore,field,2007/08,2008,4,30,
335998,2,Royal Challengers Bangalore,181,5,120,Feroz Shah Kotla,Delhi,Royal Challengers Bangalore,field,2007/08,2008,4,30,192.0
335999,1,Deccan Chargers,164,8,120,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kings XI Punjab,field,2007/08,2008,5,1,
