Rank,Model,R2,MAE,RMSE
1,Voting Ensemble (Stack),0.7488157585324707,13.798041862251795,19.158745642420552
2,XGBoost (Optimised),0.7435676184743235,13.929262779227779,19.387318740608098
3,Random Forest (Optimised),0.7226840341923927,15.146626491640633,20.355152002489174
4,Extra Trees,0.713321566863936,16.274922932624392,21.11637336489
5,Random Forest,0.7016085949692904,15.481875465766256,20.69299496803458
6,Polynomial Ridge,0.6799459000585831,16.16284910382936,21.184487157052377
7,XGBoost,0.6798986777461868,15.480430423608636,21.208592025994413
8,Neural Network,0.6273641301697979,17.605285540021555,23.03503820058157
9,Linear Regression,0.6170740506508344,18.06258395878643,23.08199126135152
10,Ridge Regression,0.6126656080431554,18.270886787057805,23.30406051189996
